plant	rep	VARIANTS/KB
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.6
cress	cress_3	0
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.9
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.8
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.9
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.4
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.8
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.7
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	2.3
cress	cress_3	1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.7
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	1.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.4
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.8
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	1.4
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.8
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	1.4
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.7
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.7
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	1.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.6
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.7
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	1
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.7
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	1.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.9
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.4
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.7
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.7
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	1.1
cress	cress_3	0.3
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.4
cress	cress_3	1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	1.2
cress	cress_3	0.3
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.7
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.5
cress	cress_3	0.4
cress	cress_3	0.2
cress	cress_3	0.3
cress	cress_3	0.4
cress	cress_3	0
cress	cress_3	0.4
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	1
cress	cress_3	0
cress	cress_3	0.3
cress	cress_3	0.1
cress	cress_3	1.1
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.5
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0.2
cress	cress_3	0
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.3
cress	cress_3	0.5
cress	cress_3	0.6
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0.1
cress	cress_3	0
cress	cress_3	0.2
cress	cress_3	0.1
cress	cress_3	0.1
